gene_id	transcript_id(s)	3h_Sal-Brk-dark_2	3h_Sal-Brk-dark_3	3h_Sal-Brk-light_2	3h_Sal-Brk-light_3	3h_Ubi-Brk-light_2	3h_Ubi-Brk-light_3
FBgn0000003	FBtr0081624	83.50	103.00	49.50	86.50	62.00	49.50
FBgn0000008	FBtr0071763,FBtr0071764,FBtr0100521,FBtr0342981	3293.00	3221.00	3219.00	3392.00	3772.00	3246.00
FBgn0000014	FBtr0083387,FBtr0083388,FBtr0300485,FBtr0306337	6.00	0.00	5.00	3.00	3.00	1.00
FBgn0000015	FBtr0083381,FBtr0083382,FBtr0083383,FBtr0083384,FBtr0083385,FBtr0330709,FBtr0346764,FBtr0415463,FBtr0415464,FBtr0415465	1.00	1.00	6.00	7.00	10.00	15.00
FBgn0000017	FBtr0075357,FBtr0112790,FBtr0330130,FBtr0330131,FBtr0330132,FBtr0330133,FBtr0330134,FBtr0330135,FBtr0330136,FBtr0345369	5213.00	5106.00	6074.00	5443.00	5675.00	6261.00
FBgn0000018	FBtr0080168	641.00	675.00	747.00	654.00	794.00	750.00
FBgn0000022	FBtr0070072	336.00	507.00	817.00	570.00	1038.00	1082.00
FBgn0000024	FBtr0082780,FBtr0300486,FBtr0335223	22.00	17.00	26.00	21.00	24.00	25.00
FBgn0000028	FBtr0074015,FBtr0100326,FBtr0100328,FBtr0290063,FBtr0290064,FBtr0305189,FBtr0305190,FBtr0305191,FBtr0305192,FBtr0305193,FBtr0305194,FBtr0305195,FBtr0305196	2.00	2.00	1.00	2.00	1.00	1.00
FBgn0000032	FBtr0085609,FBtr0085610	1195.00	1437.00	1629.00	1410.00	1801.00	1694.00
FBgn0000036	FBtr0084619,FBtr0330310,FBtr0334916	7.00	1.00	4.00	2.00	8.00	6.00
FBgn0000037	FBtr0072367,FBtr0072368	1.00	1.00	0.00	1.00	1.00	0.00
FBgn0000038	FBtr0073299,FBtr0073300	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0000039	FBtr0084639,FBtr0084640	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0000042	FBtr0070822,FBtr0070823,FBtr0100662,FBtr0100663,FBtr0345894	290770.82	254124.99	278794.96	302104.93	244472.98	234659.00
FBgn0000043	FBtr0086029	75093.00	69107.00	80238.00	75181.00	81049.00	78885.00
FBgn0000044	FBtr0071519	34453.14	677.00	4035.83	21494.53	2701.00	7758.81
FBgn0000045	FBtr0078478,FBtr0334090	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0000046	FBtr0082785,FBtr0082786,FBtr0346242	1412.06	569.01	741.02	1073.07	631.02	762.00
FBgn0000047	FBtr0083143	0.00	0.00	0.00	1.00	0.00	0.00
FBgn0000052	FBtr0079219,FBtr0079220,FBtr0079221	6761.00	5651.00	6408.00	5931.00	5678.00	5738.00
FBgn0000053	FBtr0079431,FBtr0100353,FBtr0339663	12445.00	12045.00	11953.00	11916.00	11706.00	11140.00
FBgn0000055	FBtr0100589,FBtr0100590,FBtr0100591,FBtr0100593,FBtr0100594	2118.35	51.00	113.00	346.49	48.00	66.00
FBgn0000056	FBtr0006151,FBtr0100187,FBtr0343699	20.65	0.00	0.00	3.51	1.00	0.00
FBgn0000057	FBtr0086744,FBtr0340288	1543.00	1580.00	1747.00	1517.00	1645.00	1757.00
FBgn0000061	FBtr0078053	731.00	1340.00	2516.00	1751.00	2142.00	2713.00
FBgn0000063	FBtr0083478,FBtr0331348	1405.00	1362.00	1573.00	1474.00	1419.00	1367.00
FBgn0000064	FBtr0084994,FBtr0084995,FBtr0084999,FBtr0085000,FBtr0085001,FBtr0114544,FBtr0306657,FBtr0310660,FBtr0310661,FBtr0339614	16905.00	12134.00	14288.00	15027.00	13446.00	14871.00
FBgn0000071	FBtr0081618,FBtr0081619,FBtr0081620	10082.00	15261.00	15369.00	16396.00	14996.00	15134.00
FBgn0000075	FBtr0081153,FBtr0081154	318.00	393.00	716.00	551.00	640.00	721.00
FBgn0000077	FBtr0071331,FBtr0307281	299.00	381.00	407.00	351.00	424.00	430.00
FBgn0000078	FBtr0086983	174.28	62.86	59.52	67.76	34.90	26.08
FBgn0000079	FBtr0087004,FBtr0345521	456.72	175.14	209.48	195.24	83.10	40.92
FBgn0000083	FBtr0089517,FBtr0089518,FBtr0089519,FBtr0089520,FBtr0336797,FBtr0336798	17455.00	16272.00	16692.00	18007.00	17898.00	16784.00
FBgn0000084	FBtr0070025,FBtr0301931	296.00	344.00	436.00	387.00	341.00	482.00
FBgn0000092	FBtr0070504	6.00	14.00	11.00	8.00	21.00	14.00
FBgn0000094	FBtr0085611,FBtr0346141	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0000097	FBtr0077850,FBtr0077851,FBtr0330658,FBtr0330659,FBtr0330660	6024.00	5272.00	6471.00	5714.00	5862.00	6022.00
FBgn0000100	FBtr0078481,FBtr0334113	141659.00	154475.00	166779.00	163828.00	169376.00	160316.00
FBgn0000108	FBtr0070109,FBtr0307291,FBtr0307292,FBtr0307293,FBtr0307294,FBtr0307295	76.00	91.00	148.00	70.00	205.00	212.00
FBgn0000109	FBtr0089420,FBtr0346440,FBtr0346441	477.00	542.00	443.00	602.00	355.00	400.00
FBgn0000114	FBtr0080344,FBtr0080345,FBtr0080347,FBtr0300567,FBtr0331644,FBtr0331645,FBtr0331646,FBtr0331647,FBtr0331648,FBtr0331998	10.00	9.00	1.00	11.00	2.00	11.00
FBgn0000115	FBtr0075517	2327.00	2361.00	2382.00	2675.00	2433.00	2468.00
FBgn0000116	FBtr0076543,FBtr0076544,FBtr0076545,FBtr0076546,FBtr0112791,FBtr0331550,FBtr0345030	11902.00	3489.00	17908.00	10624.00	9776.00	20966.00
FBgn0000117	FBtr0089988,FBtr0089989,FBtr0089990,FBtr0089991,FBtr0089992,FBtr0332583	53583.00	47632.00	57506.00	52555.00	56769.00	57267.00
FBgn0000119	FBtr0087702	13500.00	13756.00	16727.00	13634.00	18660.00	19013.00
FBgn0000120	FBtr0081030,FBtr0307350,FBtr0340229	0.00	0.00	1.00	0.00	0.00	0.00
FBgn0000121	FBtr0076599	35.00	47.00	78.00	70.00	91.00	92.00
FBgn0000137	FBtr0070075	1.00	2.00	32.00	4.00	13.00	14.00
FBgn0000139	FBtr0084659,FBtr0084660,FBtr0306171	3516.00	3418.00	3870.00	3588.00	3832.00	3896.00
FBgn0000140	FBtr0084692	13997.00	10675.00	11919.00	11485.00	11519.00	10713.00
FBgn0000146	FBtr0080165,FBtr0112793	29.00	24.00	42.00	37.00	39.00	49.00
FBgn0000147	FBtr0082483	2385.00	2226.00	2268.00	2527.00	2101.00	2020.00
FBgn0000150	FBtr0339146,FBtr0346150,FBtr0346611	80974.00	92336.00	80243.00	92190.00	86021.00	78416.00
FBgn0000152	FBtr0074372	2196.00	2426.00	2412.00	2518.00	2745.00	2475.00
FBgn0000153	FBtr0080542,FBtr0309960,FBtr0342712	7.00	12.00	9.00	12.00	17.00	21.00
FBgn0000157	FBtr0072378,FBtr0072379,FBtr0300076	2089.00	3031.00	3659.00	3063.00	3971.00	4306.00
FBgn0000158	FBtr0084869	33.00	13.00	19.00	20.00	18.00	16.00
FBgn0000163	FBtr0074388,FBtr0111000,FBtr0343763,FBtr0343764	4190.00	3630.00	4378.00	3905.00	4573.00	4512.00
FBgn0000166	FBtr0081664,FBtr0081665,FBtr0081666,FBtr0081667,FBtr0081668	1.00	0.00	0.00	0.00	1.00	0.00
FBgn0000173	FBtr0073855,FBtr0300566,FBtr0307296,FBtr0332843,FBtr0332844	12310.00	14614.00	13941.00	15025.00	13579.00	13673.00
FBgn0000179	FBtr0070672,FBtr0300608,FBtr0300609,FBtr0308914,FBtr0308915,FBtr0331162,FBtr0343569	11494.00	13568.00	8950.00	10568.00	6073.00	6647.00
FBgn0000180	FBtr0079929,FBtr0329984	2069.00	2798.00	4711.00	3160.00	5769.00	6460.00
FBgn0000181	FBtr0087782,FBtr0087783	62007.00	73439.00	70897.00	80156.00	74760.00	71318.00
